NO.,NAMA KONTRAKTOR,Gred,NEGERI,DERAH,NO.TELEFON,NO.FAKS,PPK,SPKK,STB,EXPIRY DATE
824,A.S. ENGINEERING SDN. BHD.,G5,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0362513089,0362587794,Yes,Yes,Yes,15/11/2024
825,A.S. GADING RESOURCES,G1,PAHANG,TEMERLOH,01-29385060,NO FAX,Yes,Yes,Yes,25/07/2024
826,A.S. HUB.,G1,NEGERI SEMBILAN,JELEBU,01-66943948,NO FAX,Yes,Yes,Yes,29/12/2023
827,A.S. SINAR DAMAI SDN. BHD.,G3,PULAU PINANG,SEBERANG PRAI UTARA,01137216674,-,Yes,NO SPKK,NO STP,21/01/2025
828,A.S.A SINERGI,G1,SARAWAK,SAMARAHAN,012-8900199,NO FAX,Yes,Yes,NO STP,01/03/2024
829,A.S.A. SINAR ENTERPRISE,G1,MELAKA,MELAKA TENGAH,01-35355118,NO FAX,Yes,Yes,Yes,03/07/2024
830,A.S.A. UTAMA,G1,SABAH,TAWAU,089763367,089763367,Yes,Yes,Yes,13/12/2023
831,A.S.H BORNEO TEC,G3,SABAH,KOTA MARUDU,0138567992,-,Yes,NO SPKK,NO STP,28/03/2025
832,A.S.I.J.ENTERPRISE,G1,KELANTAN,,01-97554365,096971808,Yes,Yes,Yes,20/09/2024
833,A.S.Q ENTERPRISE,G1,SABAH,Kota Kinabalu,012-8235170,NO FAX,Yes,NO SPKK,NO STP,04/12/2023
834,A.T. ENTERPRISE,G1,SARAWAK,SARIKEI,012-8950939,NO FAX,Yes,NO SPKK,NO STP,15/09/2024
835,A.T.G.ENTERPRISE,G1,PAHANG,TEMERLOH,0199800852,-,Yes,Yes,Yes,14/02/2025
836,A.T.J ENTERPRISE,G1,SARAWAK,SARIKEI,012-8864978,NO FAX,Yes,NO SPKK,NO STP,02/10/2024
837,A.T.M. STUDIO,G1,SELANGOR,PETALING,00-00000000,NO FAX,Yes,NO SPKK,NO STP,01/10/2024
838,A.T.S BUMIPUTERA,G1,SARAWAK,MIRI,014-6661134,NO FAX,Yes,Yes,Yes,07/02/2024
839,A.U. ENTERPRISE,G1,SARAWAK,MIRI,0198251433,085-8251433,Yes,Yes,Yes,16/02/2024
840,A.V.S. SUN ENTERPRISE,G2,NEGERI SEMBILAN,SEREMBAN,01-66006851,NO FAX,Yes,NO SPKK,NO STP,29/03/2024
841,A.W. ARCHISENSE,G1,SARAWAK,SARIKEI,013-6694126,NO FAX,Yes,Yes,Yes,14/10/2026
842,A.W.G ENTERPRISE,G1,TERENGGANU,MARANG,0145205570,09-6625262,Yes,Yes,Yes,10/05/2024
843,A.WAN BROTHERS,G3,JOHOR,JOHOR BAHRU,0137461166,-,Yes,Yes,Yes,30/11/2025
844,A.Y CONSTRUCTION,G3,SABAH,Kota Belud,016-8077701,NO FAX,Yes,NO SPKK,NO STP,11/10/2024
845,A.Z CONSTRUCTION COMPANY,G2,SARAWAK,KUCHING,011-3190488,NO FAX,Yes,Yes,NO STP,08/12/2023
846,A.Z ENGINEERING,G2,SABAH,Kota Kinabalu,088-473588,---,Yes,Yes,Yes,07/10/2024
847,A.Z NRL DASUKI RESOURCES,G1,SABAH,Tuaran,017-8996917,NO FAX,Yes,NO SPKK,NO STP,12/01/2025
848,A.Z. TIPPER ENTERPRISE,G1,JOHOR,JOHOR BAHRU,0187648546,NO FAX,Yes,Yes,Yes,10/01/2025
849,A.Z.D ENTERPRISE,G1,SABAH,Ranau,01131673828,00,Yes,NO SPKK,NO STP,26/07/2026
850,A.Z.ENTERPRISE,G1,SELANGOR,KLANG,0333723646,-,Yes,Yes,Yes,17/09/2024
851,A.Z.ENTERPRISE,G1,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0192266256,-,Yes,Yes,Yes,11/07/2024
852,A.Z.H. ENTERPRISE,G1,SARAWAK,KUCHING,082-510663,NO FAX,Yes,Yes,Yes,23/02/2025
853,A.Z.KAMALIZA ENTERPRISE,G3,JOHOR,KOTA TINGGI,078825210,078825210,Yes,Yes,Yes,24/10/2025
854,A.Z.NIRA ENTERPRISE,G1,TERENGGANU,KEMAMAN,098730319,-,Yes,Yes,Yes,15/07/2024
855,A’Z ENTERPRISE,G2,SABAH,TELUPID,013-8575758,NO FAX,Yes,NO SPKK,NO STP,12/03/2024
856,A2 AUTOMATION SDN. BHD.,G5,PULAU PINANG,SEBERANG PERAI TENGAH,01-94477053,NO FAX,Yes,NO SPKK,NO STP,03/10/2024
857,A2Z (M) SDN. BHD.,G5,SELANGOR,,03-78762155,03-,Yes,NO SPKK,NO STP,25/04/2025
858,A2Z CONSTRUCTION  SDN. BHD.,G1,SELANGOR,,03-61507941,NO FAX,Yes,NO SPKK,NO STP,25/04/2024
859,A2Z FLEX SDN. BHD.,G2,SELANGOR,,0187732889,NO FAX,Yes,NO SPKK,NO STP,12/07/2024
860,A3 ENTERPRISE,G1,SABAH,KENINGAU,010-5823800,08-7330822,Yes,NO SPKK,NO STP,21/02/2025
861,A3 MAJUJAYA ENTERPRISE,G1,TERENGGANU,KUALA TERENGGANU,019-6086899,NO FAX,Yes,Yes,Yes,18/05/2024
862,A4 ENTERPRISE,G1,SABAH,KENINGAU,010-5823800,010-5823800,Yes,NO SPKK,NO STP,25/09/2024
863,AA & A ENTERPRISE,G1,JOHOR,TANGKAK,064540116,064540116,Yes,Yes,Yes,28/08/2024
864,AA & AZ UTARA ENTERPRISE,G1,PERLIS,PERLIS,0134849718,NO FAX,Yes,Yes,Yes,16/01/2026
865,AA 1 RD ENTERPRISE,G1,KEDAH,KULIM,0,0,Yes,NO SPKK,NO STP,12/09/2024
866,AA 3 ALLOUTSERVICE ENTERPRISE,G1,MELAKA,ALOR GAJAH,0169349366,NO FAX,Yes,Yes,Yes,24/04/2024
867,AA 805 TRADING,G1,TERENGGANU,KUALA TERENGGANU,0142200603,NO FAX,Yes,Yes,Yes,11/07/2025
868,AA 86 TRADING,G1,KELANTAN,GUA MUSANG,01-45000877,NO FAX,Yes,Yes,Yes,26/09/2026
869,AA ABADI ENTERPRISE,G1,KEDAH,PADANG TERAP,---,NO FAX,Yes,Yes,Yes,08/12/2024
870,AA AFIQ ENTERPRISE,G1,KEDAH,PADANG TERAP,01-79394991,NO FAX,Yes,Yes,Yes,02/10/2024
871,AA AIESAH ENTERPRISE,G1,SABAH,Kudat,010-2606372,0,Yes,NO SPKK,NO STP,25/09/2026
872,AA AINOT RESOURCES,G1,PERAK,"LARUT, MATANG DAN SELAMA",01-78780494,NO FAX,Yes,Yes,Yes,23/08/2024
873,AA AIRCOND SERVICE,G1,SARAWAK,Daro,019-9555282,NO FAX,Yes,Yes,NO STP,13/02/2025
874,AA AMIR ENTERPRISE,G1,PULAU PINANG,Seberang Perai Utara,01-74552270,NO FAX,Yes,Yes,Yes,21/10/2025
875,AA AMSYA ENTERPRISE,G1,PULAU PINANG,TIMOR LAUT,01-64086607,NO FAX,Yes,Yes,Yes,08/07/2026
876,AA ANIQA TRADING,G1,PERAK,HILIR PERAK,056213239,056213239,Yes,Yes,Yes,23/07/2024
877,AA ANMAS ENTERPRISE,G1,MELAKA,ALOR GAJAH,0,NO FAX,Yes,Yes,Yes,17/10/2024
878,AA ASIA COMMERCIAL SERVICES ,G2,PULAU PINANG,Seberang Perai Utara,01-22382327,NO FAX,Yes,NO SPKK,NO STP,12/10/2025
879,AA ATELIER,G3,MELAKA,MELAKA TENGAH,01-26968081,NO FAX,Yes,NO SPKK,NO STP,17/09/2024
880,AA AURA DYNAMIC ENTERPRISE,G1,WILAYAH PERSEKUTUAN PUTRAJAYA,PUTRAJAYA,0174665590,NO FAX,Yes,Yes,Yes,08/03/2025
881,AA AUSPICIOUS SDN. BHD.,G2,SELANGOR,KLANG,01-22630058,NO FAX,Yes,NO SPKK,NO STP,05/04/2025
882,AA AZIZAH ENTERPRISE,G1,NEGERI SEMBILAN,REMBAU,06-4382184,-,Yes,Yes,Yes,29/12/2025
883,AA AZMAN ENTERPRISE,G1,TERENGGANU,BESUT,0199395841,0199395841,Yes,Yes,Yes,29/01/2026
884,AA BAROKAH EMPIRE,G1,KEDAH,PENDANG,01-94282933,NO FAX,Yes,Yes,Yes,17/10/2025
885,AA BENA CONSTRUCTION & ENGINEERING SDN. BHD.,G3,SELANGOR,Hulu Langat,0389202124,0389267384,Yes,Yes,NO STP,09/03/2026
886,AA BERKAT JAYA ENTERPRISE,G1,NEGERI SEMBILAN,JEMPOL,0,NO FAX,Yes,Yes,Yes,20/03/2025
887,AA BERKAT MAJU JAYA ENTERPRISE,G1,TERENGGANU,MARANG,019-9556635,NO FAX,Yes,Yes,Yes,04/11/2025
888,AA BERKAT VENTURES,G1,TERENGGANU,KUALA TERENGGANU,09-6261527,NO FAX,Yes,Yes,Yes,19/02/2024
889,AA BERMULA ENTERPRISE,G1,PAHANG,KUANTAN,01-99879349,NO FAX,Yes,Yes,Yes,06/03/2026
890,AA BERSATU MAJU ENTERPRISE,G1,TERENGGANU,KEMAMAN,019-9899545,NO FAX,Yes,Yes,Yes,04/12/2025
891,AA BINA ENTERPRISE,G2,NEGERI SEMBILAN,REMBAU,064382428,-,Yes,Yes,Yes,24/03/2024
892,AA BINA MAJU ENTERPRISE,G1,PAHANG,KUANTAN,09-5383352,NO FAX,Yes,Yes,Yes,08/05/2025
893,AA BINA TEGUH RESOURCES,G2,JOHOR,MUAR,01117634954,NO FAX,Yes,Yes,Yes,08/02/2025
894,AA BINA VENTURE,G1,TERENGGANU,BESUT,01-45069713,NO FAX,Yes,Yes,Yes,24/04/2024
895,AA BIZ JAYA ENTERPRISE,G1,JOHOR,KULAIJAYA,01-43907676,NO FAX,Yes,Yes,Yes,24/02/2024
896,AA BUILDERS ENTERPRISE,G1,JOHOR,BATU PAHAT,01-77202217,NO FAX,Yes,Yes,Yes,26/10/2026
897,AA BUSINESS RESOURCES,G2,PULAU PINANG,BARAT DAYA,046118500,046118500,Yes,Yes,Yes,05/12/2024
898,AA CAHAYA QASEH ENTERPRISE,G1,KEDAH,KULIM,012-4740581,012-4740581,Yes,Yes,Yes,18/04/2025
899,AA CLAN SOLUTION,G2,SELANGOR,Hulu Langat,0,0,Yes,NO SPKK,NO STP,05/06/2024
900,AA CONSTRUCTION & ENTERPRISE,G2,SABAH,BEAUFORT,0198508986,0,Yes,Yes,Yes,28/06/2026
901,AA CONSTRUCTION & RENOVATION,G1,JOHOR,JOHOR BAHRU,0166150293,NO FAX,Yes,Yes,Yes,09/05/2024
902,AA CONSTRUCTION & SERVICES,G2,SELANGOR,PETALING,0133939392,NO FAX,Yes,Yes,Yes,29/12/2023
903,AA CONSULT,G1,NEGERI SEMBILAN,SEREMBAN,0,NO FAX,Yes,NO SPKK,NO STP,12/06/2025
904,AA CONTRACTOR ENTERPRISE,G3,SABAH,LAHAD DATU,016-2378257,016-2378257,Yes,NO SPKK,NO STP,24/08/2024
905,AA CORP ENTERPRISE,G1,SARAWAK,Matu,014-8866912,NO FAX,Yes,NO SPKK,NO STP,28/02/2025
906,AA DAMAI DEVELOPMENT SDN. BHD.,G7,SABAH,Kota Kinabalu,01-98202282,NO FAX,Yes,NO SPKK,NO STP,01/09/2025
907,AA DELI MAJU ENTERPRISE,G1,PERAK,KUALA KANGSAR,05-5274426,NO FAX,Yes,Yes,Yes,09/12/2025
908,AA DESIGN,G2,SABAH,TAWAU,0,NO FAX,Yes,Yes,NO STP,23/03/2025
909,AA DEVELOPMENT,G1,SELANGOR,Hulu Langat,01-03529797,NO FAX,Yes,Yes,Yes,21/12/2024
910,AA EMAS ENTERPRISE,G2,PERAK,BAGAN DATOK,01-95266127,NO FAX,Yes,Yes,Yes,19/09/2026
911,AA EMAS IMPIAN ENTERPRISE,G1,NEGERI SEMBILAN,JEMPOL,0,NO FAX,Yes,Yes,Yes,11/01/2025
912,AA EMPIRE BUILDING ENTERPRISE,G1,KELANTAN,KOTA BHARU,01-11058221,NO FAX,Yes,Yes,Yes,07/08/2026
913,AA EMPIRE ENGINEERING,G1,KEDAH,KUALA MUDA,01-11087003,NO FAX,Yes,Yes,Yes,19/04/2026
914,AA E-MULTI RESOURCES,G2,SABAH,Kota Kinabalu,014-2839217,NO FAX,Yes,Yes,NO STP,28/12/2024
915,AA ENTERPRISE,G1,SABAH,BEAUFORT,011-1512664,NO FAX,Yes,NO SPKK,NO STP,27/03/2025
916,AA ENTERPRISE,G2,SABAH,Kota Kinabalu,017-8101115,NO FAX,Yes,NO SPKK,NO STP,16/06/2026
917,AA ENTERPRISE,G1,SARAWAK,Daro,019-4268697,NO FAX,Yes,NO SPKK,NO STP,05/10/2024
918,AA ENTERPRISE,G1,SARAWAK,BETONG,019-4835989,NO FAX,Yes,NO SPKK,NO STP,12/12/2025
919,AA FADZ RUWAY ENTERPRISE,G1,KEDAH,LANGKAWI,01-76542739,NO FAX,Yes,Yes,Yes,19/07/2025
920,AA FAMILY ENTERPRISE,G1,SABAH,KENINGAU,0178697770,-,Yes,NO SPKK,NO STP,02/07/2024
921,AA FAZLY ENTERPRISE,G1,NEGERI SEMBILAN,SEREMBAN,0193985541,0,Yes,Yes,Yes,21/08/2024
922,AA FIRE PROTECTION SERVICE,G2,JOHOR,KLUANG,077866958,077866958,Yes,Yes,NO STP,18/07/2026
923,AA GEE ENTERPRISE,G1,KEDAH,KOTA SETAR,04-7729745,NO FAX,Yes,Yes,Yes,03/04/2025
924,AA GELAM ENTERPRISE,G1,KEDAH,LANGKAWI,01-16437616,NO FAX,Yes,Yes,Yes,24/02/2024
925,AA GEMILANG GROUP SDN. BHD.,G5,TERENGGANU,BESUT,09-6951660,09-6951660,Yes,Yes,Yes,30/08/2026
926,AA GEMILANG MAJU RESOURCES,G1,SELANGOR,KUALA LANGAT,0,NO FAX,Yes,Yes,Yes,27/10/2024
927,AA GEMILANG SOLUTION,G1,JOHOR,MUAR,01-73337718,NO FAX,Yes,Yes,Yes,13/12/2026
928,AA GENERAL TRADING,G2,SARAWAK,MARUDI,017-8103199,NO FAX,Yes,Yes,NO STP,12/06/2024
929,AA GILAYISH ENTERPRISE,G1,MELAKA,ALOR GAJAH,01-66631979,NO FAX,Yes,NO SPKK,NO STP,25/08/2024
930,AA GLOBAL SOLUTION,G1,TERENGGANU,BESUT,01-36736751,NO FAX,Yes,Yes,Yes,13/03/2025
931,AA GLOBAL VENTURE,G1,TERENGGANU,BESUT,018-2662295,NO FAX,Yes,Yes,Yes,20/12/2025
932,AA GOLDEN ENTERPRISE,G1,PAHANG,ROMPIN,13-9877274,NO FAX,Yes,Yes,Yes,21/03/2026
933,AA GOLDEN VENTURES,G1,KELANTAN,PASIR PUTEH,13-2827020,NO FAX,Yes,Yes,Yes,20/03/2024
934,AA GREAT CONSTRUCTION,G3,KEDAH,LANGKAWI,04-9663470,04-9663470,Yes,Yes,Yes,05/03/2025
935,AA GROUP ENERGY  SDN. BHD.,G3,SELANGOR,,01-27749457,NO FAX,Yes,NO SPKK,NO STP,29/11/2024
936,AA HARMONI ENTERPRISE,G1,PERLIS,PERLIS,01-75873195,NO FAX,Yes,Yes,Yes,15/10/2024
937,AA HARMONI JAYA ENTERPRISE,G1,KEDAH,KUALA MUDA,01-77041058,NO FAX,Yes,Yes,Yes,27/03/2024
938,AA HERITAGE RESOURCES,G2,KELANTAN,PASIR MAS,0177134634,-,Yes,Yes,NO STP,24/07/2024
939,AA IDAMAN MAJU ENTERPRISE,G1,PERLIS,PERLIS,01-93099741,NO FAX,Yes,Yes,Yes,08/01/2027
940,AA IKHLAS EMPIRE,G1,KELANTAN,KUALA KRAI,01-25352595,0,Yes,Yes,Yes,21/08/2025
941,AA INDAH TRADING,G1,KELANTAN,PASIR MAS,01-03883447,NO FAX,Yes,Yes,Yes,02/08/2024
942,AA INFINITY ENTERPRISE,G2,WILAYAH PERSEKUTUAN LABUAN,LABUAN,012-6261992,NO FAX,Yes,NO SPKK,NO STP,07/09/2025
943,AA INSPIRE LEGACY,G1,KELANTAN,PASIR PUTEH,01-49420717,NO FAX,Yes,Yes,Yes,30/11/2026
944,AA INTEGRATED & SOLUTION,G1,KELANTAN,KOTA BHARU,01-72820029,NO FAX,Yes,Yes,Yes,27/02/2024
945,AA INTERAKTIF RESOURCES,G1,SELANGOR,KUALA SELANGOR,01-32736168,NO FAX,Yes,Yes,Yes,02/02/2025
946,AA JANA SERVICES,G1,PERAK,KINTA,0172691213,NO FAX,Yes,Yes,Yes,18/07/2025
947,AA JAYA EMPIRE,G1,PERAK,KERIAN,11-11513323,NO FAX,Yes,Yes,Yes,22/12/2025
948,AA JAYA LEGACY,G1,PERLIS,PERLIS,01-45584548,NO FAX,Yes,Yes,Yes,25/01/2024
949,AA JAYA RESOURCES,G1,KELANTAN,PASIR MAS,01-63021191,NO FAX,Yes,Yes,Yes,18/12/2026
950,AA JAYA VENTURES,G1,WILAYAH PERSEKUTUAN PUTRAJAYA,PUTRAJAYA,01-45144669,NO FAX,Yes,Yes,Yes,31/10/2024
951,AA JEF ENTERPRISE,G1,KELANTAN,KOTA BHARU,013-9561111,-,Yes,Yes,Yes,09/06/2026
952,AA JOEYS RESOURCES,G1,TERENGGANU,BESUT,09-6091880,NO FAX,Yes,Yes,Yes,25/03/2025
953,AA JOULE BINA ENTERPRISE,G2,MELAKA,JASIN,0,NO FAX,Yes,NO SPKK,NO STP,12/02/2025
954,AA KAIZEN RESOURCES,G1,PERAK,"LARUT, MATANG DAN SELAMA",01-25128885,NO FAX,Yes,Yes,Yes,01/08/2026
955,AA KALAI TRADING,G1,KELANTAN,TANAH MERAH,TIADA,TIADA,Yes,Yes,Yes,18/08/2024
956,AA KARISMA RESOURCES (M) SDN. BHD.,G3,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0178683630,-,Yes,Yes,NO STP,02/10/2024
957,AA KENCANA ENTERPRISE,G1,KELANTAN,TANAH MERAH,0139318899,0,Yes,Yes,Yes,17/07/2024
958,AA KIARA TRADE,G1,KELANTAN,TANAH MERAH,01-79804812,NO FAX,Yes,Yes,Yes,03/10/2026
959,AA KLEBANG TENAGA ENTERPRISE,G1,MELAKA,MELAKA TENGAH,0,NO FAX,Yes,Yes,Yes,24/04/2024
960,AA KONTRAKTOR,G1,SABAH,KENINGAU,012-8660442,NO FAX,Yes,Yes,Yes,05/04/2025
961,AA LAND SDN. BHD.,G5,KELANTAN,TUMPAT,01125742959,NO FAX,Yes,NO SPKK,NO STP,12/12/2024
962,AA LEGACY,G3,SABAH,Kota Kinabalu,016-8364465,NO FAX,Yes,Yes,Yes,06/03/2025
963,AA LEGACY CONSTRUCTION,G1,PULAU PINANG,Seberang Perai Utara,017-4304776,NO FAX,Yes,Yes,NO STP,05/11/2025
964,AA LEGACY ELECTRICAL AND CONSTRUCTION,G1,JOHOR,MUAR,0,NO FAX,Yes,Yes,Yes,30/10/2025
965,AA LETRIK,G1,PAHANG,PEKAN,019-9525895,-,Yes,Yes,Yes,26/11/2025
966,AA LIMA ENTERPRISE,G1,NEGERI SEMBILAN,REMBAU,0126311584,-,Yes,Yes,Yes,17/09/2024
967,AA MAJU,G1,SABAH,Kota Kinabalu,013-8679994,NO FAX,Yes,NO SPKK,NO STP,19/06/2025
968,AA MAJU GLOBAL CONSTRUCTION & ENGINEERING,G1,KELANTAN,PASIR PUTEH,0,NO FAX,Yes,Yes,Yes,28/12/2025
969,AA MAJU KITA ENTERPRISE,G2,SELANGOR,KUALA LANGAT,0,NO FAX,Yes,Yes,NO STP,28/09/2024
970,AA MAJU MANTAP,G2,JOHOR,JOHOR BAHRU,0127272363,-,Yes,Yes,Yes,15/05/2025
971,AA MAJU RESOURCES,G1,TERENGGANU,KUALA TERENGGANU,01-39215758,NO FAX,Yes,Yes,Yes,13/12/2025
972,AA MAJU SETIA ENTERPRISE,G1,PAHANG,PEKAN,01-11022869,NO FAX,Yes,Yes,Yes,21/06/2026
973,AA MARBLE & GRANITE SDN. BHD.,G5,SELANGOR,PETALING,03-78324311,03-78324311,Yes,NO SPKK,NO STP,08/08/2024
974,AA MASTER CONSTRUCTION,G2,SELANGOR,PETALING,0,NO FAX,Yes,NO SPKK,NO STP,20/12/2023
975,AA MEGA GLOBAL ENTERPRISE,G1,KEDAH,ALOR SETAR,01-24924377,NO FAX,Yes,Yes,Yes,06/01/2026
976,AA MEGA WORLD VENTURE,G1,PULAU PINANG,TIMUR LAUT,0,NO FAX,Yes,Yes,Yes,04/04/2025
977,AA MELATI SOLUTION  SDN. BHD.,G2,PAHANG,TEMERLOH,03-87608049,NO FAX,Yes,Yes,Yes,28/07/2024
978,AA MENARA MAJU ENTERPRISE,G1,PAHANG,MARAN,01-99291636,NO FAX,Yes,Yes,Yes,03/02/2026
979,AA MENTARI ENTERPRISE,G1,PERAK,KERIAN,01-34245524,NO FAX,Yes,Yes,Yes,05/07/2025
980,AA MIN ENTERPRISE,G1,KELANTAN,GUA MUSANG,TIADA,TIADA,Yes,Yes,Yes,27/06/2024
981,AA MUTIARA MAJU ENTERPRISE,G1,JOHOR,SEGAMAT,01-77176660,NO FAX,Yes,Yes,Yes,17/10/2024
982,AA MUTIARA SOLUTION,G1,JOHOR,MUAR,01-73337718,NO FAX,Yes,Yes,Yes,31/12/2024
983,AA NAJMI ENTERPRISE,G1,PERAK,BAGAN DATOK,01-7409007,NO FAX,Yes,Yes,Yes,21/03/2025
984,AA NETWORK,G1,PERAK,BATANG PADANG,05-7674096,NO FAX,Yes,Yes,Yes,06/06/2025
985,AA NIAGA VENTURES,G1,NEGERI SEMBILAN,SEREMBAN,0,NO FAX,Yes,Yes,Yes,28/06/2024
986,AA NORTH ENTERPRISE,G1,KEDAH,KOTA SETAR,01-07903282,NO FAX,Yes,Yes,Yes,30/11/2023
987,AA PADU EMPIRE,G1,TERENGGANU,HULU TERENGGANU,01139142643,NO FAX,Yes,Yes,Yes,28/11/2023
988,AA PANTAS VENTURE,G1,PULAU PINANG,SEBERANG PERAI TENGAH,01-38872457,NO FAX,Yes,Yes,Yes,16/09/2025
989,AA PERMAI ENTERPRISE,G1,TERENGGANU,SETIU,096576271,-,Yes,Yes,Yes,13/05/2024
990,AA PERTAMA SDN. BHD.,G2,SELANGOR,PETALING,0,NO FAX,Yes,Yes,Yes,23/11/2025
991,AA PLUS ENTERPRISE,G1,SARAWAK,SRI AMAN,083320219,083320219,Yes,NO SPKK,NO STP,08/11/2025
992,AA POWER GLOBAL SDN. BHD.,G3,PULAU PINANG,SEBERANG PERAI TENGAH,04-3566005,NO FAX,Yes,Yes,Yes,19/05/2025
993,AA Premium Co.,G1,SABAH,Kota Kinabalu,014-6744711,088-259281,Yes,NO SPKK,NO STP,30/01/2025
994,AA PREMIUM LEGACY,G2,PAHANG,RAUB,01-82258700,NO FAX,Yes,Yes,Yes,12/10/2026
995,AA PRESTIGE DYNAMIC SERVICES,G1,NEGERI SEMBILAN,PORT DICKSON,01-43297973,NO FAX,Yes,Yes,Yes,09/02/2025
996,AA PRIMA VENTURE,G1,KEDAH,KUALA MUDA,01-34984535,0,Yes,Yes,Yes,25/10/2026
997,AA PROPERTY DEVELOPMENT,G3,KELANTAN,KOTA BHARU,01-99947575,NO FAX,Yes,NO SPKK,NO STP,14/02/2024
998,AA PROTECTION SDN. BHD.,G7,SELANGOR,,0355693244,0355694099,Yes,Yes,NO STP,05/10/2024
999,AA RAZZAQ CONSTRUCTION,G1,PAHANG,KUANTAN,01125684637,NO FAX,Yes,Yes,Yes,13/07/2024
1000,AA RELATIONS ENTERPRISE,G1,PAHANG,CAMERON HIGHLANDS,01-63441810,NO FAX,Yes,Yes,Yes,08/11/2024
